date,open,high,low,close,volume
2015-09-01 09:15:00+05:30,7907.95,7928.8,7887.05,7917.9,0
2015-09-01 09:50:00+05:30,7918.45,7919.85,7887.0,7900.35,0
2015-09-01 10:25:00+05:30,7899.7,7906.85,7891.1,7903.25,0
2015-09-01 11:00:00+05:30,7903.2,7918.45,7867.8,7877.95,0
2015-09-01 11:35:00+05:30,7878.35,7884.7,7858.85,7866.45,0
2015-09-01 12:10:00+05:30,7866.4,7875.9,7850.0,7874.0,0
2015-09-01 12:45:00+05:30,7873.0,7873.3,7823.75,7831.9,0
2015-09-01 13:20:00+05:30,7831.25,7847.45,7798.2,7807.95,0
2015-09-01 13:55:00+05:30,7807.85,7808.0,7747.0,7754.25,0
2015-09-01 14:30:00+05:30,7754.1,7794.35,7748.3,7785.45,0
2015-09-01 15:05:00+05:30,7785.75,7803.85,7779.35,7781.4,0
2015-09-02 09:10:00+05:30,7857.8,7857.8,7779.5,7817.55,0
2015-09-02 09:45:00+05:30,7810.75,7836.6,7794.8,7833.85,0
2015-09-02 10:20:00+05:30,7833.9,7844.55,7797.7,7797.95,0
2015-09-02 10:55:00+05:30,7797.0,7798.85,7760.9,7764.35,0
2015-09-02 11:30:00+05:30,7764.3,7810.95,7763.9,7801.65,0
2015-09-02 12:05:00+05:30,7801.85,7810.7,7785.4,7805.75,0
2015-09-02 12:40:00+05:30,7806.2,7810.15,7783.55,7788.85,0
2015-09-02 13:15:00+05:30,7788.35,7800.1,7742.8,7755.7,0
2015-09-02 13:50:00+05:30,7755.75,7769.9,7738.7,7766.45,0
2015-09-02 14:25:00+05:30,7766.0,7766.0,7719.6,7725.8,0
2015-09-02 15:00:00+05:30,7725.8,7730.8,7699.6,7727.65,0
2015-09-03 09:05:00+05:30,7774.45,7785.15,7754.35,7769.25,0
2015-09-03 09:40:00+05:30,7769.4,7806.55,7763.35,7806.55,0
2015-09-03 10:15:00+05:30,7806.1,7811.7,7782.05,7800.15,0
2015-09-03 10:50:00+05:30,7800.25,7808.35,7791.9,7795.05,0
2015-09-03 11:25:00+05:30,7795.6,7807.75,7794.35,7807.05,0
2015-09-03 12:00:00+05:30,7807.15,7808.4,7763.3,7786.1,0
2015-09-03 12:35:00+05:30,7786.5,7803.65,7785.25,7799.25,0
2015-09-03 13:10:00+05:30,7799.35,7839.25,7797.25,7833.6,0
2015-09-03 13:45:00+05:30,7833.7,7845.45,7819.45,7843.15,0
2015-09-03 14:20:00+05:30,7843.35,7844.05,7823.3,7828.85,0
2015-09-03 14:55:00+05:30,7829.3,7832.85,7811.65,7831.25,0
2015-09-04 09:00:00+05:30,7803.4,7803.4,7656.15,7666.65,0
2015-09-04 09:35:00+05:30,7666.9,7687.1,7639.75,7667.15,0
2015-09-04 10:10:00+05:30,7667.6,7684.15,7663.25,7671.95,0
2015-09-04 10:45:00+05:30,7672.1,7694.85,7641.35,7684.0,0
2015-09-04 11:20:00+05:30,7684.1,7685.15,7661.85,7672.4,0
2015-09-04 11:55:00+05:30,7672.45,7683.55,7661.8,7665.05,0
2015-09-04 12:30:00+05:30,7665.2,7668.2,7636.45,7647.85,0
2015-09-04 13:05:00+05:30,7647.85,7672.0,7646.45,7655.35,0
2015-09-04 13:40:00+05:30,7656.0,7659.6,7627.55,7635.95,0
2015-09-04 14:15:00+05:30,7638.1,7664.8,7628.75,7663.6,0
2015-09-04 14:50:00+05:30,7663.7,7666.9,7647.25,7655.95,0
2015-09-07 08:45:00+05:30,7690.65,7704.5,7647.0,7700.75,0
2015-09-07 09:20:00+05:30,7700.4,7700.5,7607.2,7624.0,0
2015-09-07 09:55:00+05:30,7624.1,7659.75,7617.25,7657.65,0
2015-09-07 10:30:00+05:30,7657.3,7658.25,7628.2,7647.2,0
2015-09-07 11:05:00+05:30,7646.9,7653.9,7622.0,7637.05,0
2015-09-07 11:40:00+05:30,7637.0,7657.3,7628.15,7642.45,0
2015-09-07 12:15:00+05:30,7643.05,7650.55,7636.75,7642.85,0
2015-09-07 12:50:00+05:30,7642.8,7644.15,7619.15,7620.8,0
2015-09-07 13:25:00+05:30,7619.75,7638.95,7616.0,7632.05,0
2015-09-07 14:00:00+05:30,7631.45,7632.85,7574.95,7585.05,0
2015-09-07 14:35:00+05:30,7585.15,7592.95,7550.75,7559.95,0
2015-09-07 15:10:00+05:30,7560.15,7565.0,7546.35,7552.95,0
2015-09-08 09:15:00+05:30,7587.7,7598.85,7540.15,7574.1,0
2015-09-08 09:50:00+05:30,7573.6,7598.15,7553.7,7592.25,0
2015-09-08 10:25:00+05:30,7592.6,7594.4,7558.65,7558.65,0
2015-09-08 11:00:00+05:30,7559.05,7597.6,7542.95,7589.75,0
2015-09-08 11:35:00+05:30,7590.55,7623.95,7581.05,7622.95,0
2015-09-08 12:10:00+05:30,7622.15,7630.1,7609.35,7624.25,0
2015-09-08 12:45:00+05:30,7625.4,7656.05,7623.55,7644.05,0
2015-09-08 13:20:00+05:30,7643.9,7662.55,7640.0,7656.75,0
2015-09-08 13:55:00+05:30,7656.45,7710.85,7656.45,7708.0,0
2015-09-08 14:30:00+05:30,7708.45,7720.55,7675.8,7678.55,0
2015-09-08 15:05:00+05:30,7679.15,7705.05,7670.0,7701.85,0
2015-09-09 09:10:00+05:30,7806.1,7821.15,7793.95,7811.75,0
2015-09-09 09:45:00+05:30,7811.6,7814.0,7780.7,7796.3,0
2015-09-09 10:20:00+05:30,7796.0,7799.4,7764.65,7786.2,0
2015-09-09 10:55:00+05:30,7785.2,7805.15,7778.35,7803.35,0
2015-09-09 11:30:00+05:30,7802.85,7836.35,7802.4,7834.15,0
2015-09-09 12:05:00+05:30,7834.9,7839.05,7827.0,7827.0,0
2015-09-09 12:40:00+05:30,7827.7,7845.85,7822.05,7838.9,0
2015-09-09 13:15:00+05:30,7838.8,7840.05,7806.45,7809.2,0
2015-09-09 13:50:00+05:30,7809.1,7812.3,7780.85,7811.2,0
2015-09-09 14:25:00+05:30,7810.65,7834.8,7804.45,7824.35,0
2015-09-09 15:00:00+05:30,7824.1,7832.8,7801.0,7804.85,0
2015-09-10 09:05:00+05:30,7721.35,7721.35,7678.6,7709.7,0
2015-09-10 09:40:00+05:30,7709.0,7716.55,7688.55,7704.3,0
2015-09-10 10:15:00+05:30,7704.35,7722.6,7693.8,7722.4,0
2015-09-10 10:50:00+05:30,7722.45,7724.85,7708.55,7720.9,0
2015-09-10 11:25:00+05:30,7720.05,7729.2,7711.75,7728.35,0
2015-09-10 12:00:00+05:30,7728.95,7757.85,7728.65,7743.8,0
