entry_dt,exit_dt,direction,entry_px,exit_px,shares,reason,pnl_pct,pnl_abs
2015-10-23 14:00:00,2015-10-23 15:15:00,Long,1270.03,1268.0,78,EOD,-0.32,-320.21
2015-10-28 15:15:00,2015-10-29 09:15:00,Long,1265.63,1255.51,79,SL,-0.96,-960.0
2015-10-29 14:45:00,2015-10-29 15:15:00,Short,1247.36,1249.5,80,EOD,-0.332,-331.88
2015-12-08 15:15:00,2015-12-09 09:45:00,Short,1163.15,1172.45,85,SL,-0.96,-960.0
2015-12-14 09:30:00,2015-12-14 15:00:00,Short,1180.91,1190.36,84,SL,-0.96,-960.0
2015-12-14 15:00:00,2015-12-14 15:15:00,Long,1184.59,1185.65,84,EOD,-0.071,-70.69
2016-02-22 14:30:00,2016-02-22 15:15:00,Short,1163.92,1162.5,85,EOD,-0.038,-38.19
2016-03-17 15:15:00,2016-03-18 09:15:00,Long,1179.34,1198.21,84,TP,1.44,1440.0
2016-05-25 09:30:00,2016-05-25 15:15:00,Long,1253.38,1263.48,79,EOD,0.646,646.11
2016-06-22 09:15:00,2016-06-22 10:00:00,Short,1322.84,1333.42,75,SL,-0.96,-960.0
2016-08-18 14:30:00,2016-08-18 15:15:00,Short,1319.42,1315.5,75,EOD,0.137,137.1
2016-09-26 15:15:00,2016-09-27 09:15:00,Short,1199.45,1209.05,83,SL,-0.96,-960.0
2016-10-03 09:30:00,2016-10-03 15:15:00,Short,1208.68,1203.75,82,EOD,0.248,247.5
2016-10-25 15:15:00,2016-10-26 15:15:00,Short,1198.48,1191.38,83,EOD,0.432,432.46
2017-01-18 09:15:00,2017-01-18 15:15:00,Long,1139.47,1147.5,87,EOD,0.545,544.76
2017-03-10 09:15:00,2017-03-10 15:15:00,Long,1260.43,1271.13,79,EOD,0.689,688.92
2017-03-14 09:15:00,2017-03-14 15:15:00,Long,1278.64,1284.93,78,EOD,0.332,332.01
2017-03-21 15:15:00,2017-03-22 15:15:00,Long,1244.62,1236.15,80,EOD,-0.841,-840.69
2017-05-05 15:15:00,2017-05-08 15:15:00,Long,1162.31,1171.0,86,EOD,0.588,587.57
2017-06-15 09:30:00,2017-06-15 15:15:00,Short,1223.14,1203.57,81,TP,1.44,1440.0
2017-07-07 09:30:00,2017-07-07 15:00:00,Long,1177.17,1167.75,84,SL,-0.96,-960.0
2017-08-28 09:30:00,2017-08-28 15:15:00,Short,1235.71,1245.6,80,SL,-0.96,-960.0
2017-08-30 10:00:00,2017-08-30 12:30:00,Short,1232.46,1242.32,81,SL,-0.96,-960.0
2017-09-06 14:45:00,2017-09-06 15:15:00,Long,1228.61,1226.5,81,EOD,-0.332,-332.06
2017-11-10 15:00:00,2017-11-10 15:15:00,Short,1347.73,1356.0,74,EOD,-0.774,-773.94
2018-02-26 15:15:00,2018-03-05 09:15:00,Short,1516.29,1528.42,65,SL,-0.96,-960.0
2018-03-08 14:30:00,2018-03-08 15:15:00,Short,1510.24,1501.0,66,EOD,0.452,452.12
2018-05-03 09:30:00,2018-05-03 15:15:00,Long,1754.48,1740.44,56,SL,-0.96,-960.0
2018-05-04 15:15:00,2018-05-07 14:15:00,Short,1738.78,1710.96,57,TP,1.44,1440.0
2018-05-17 09:30:00,2018-05-17 15:00:00,Long,1759.91,1745.83,56,SL,-0.96,-960.0
2018-06-26 09:30:00,2018-06-26 14:15:00,Long,1828.81,1858.07,54,TP,1.44,1440.0
2018-07-03 09:30:00,2018-07-03 15:15:00,Long,1862.13,1874.95,53,EOD,0.528,528.43
2018-07-24 09:15:00,2018-07-24 15:15:00,Short,2013.99,1996.45,49,EOD,0.711,711.03
2018-08-27 09:45:00,2018-08-27 15:15:00,Long,2049.22,2050.05,48,EOD,-0.12,-119.7
2018-11-30 14:45:00,2018-11-30 15:00:00,Long,1989.29,1973.38,50,SL,-0.96,-960.0
2018-12-17 13:30:00,2018-12-17 15:15:00,Long,1997.85,1992.9,50,EOD,-0.408,-407.69
2019-01-01 15:00:00,2019-01-01 15:15:00,Long,1903.5,1905.9,52,EOD,-0.034,-33.98
2019-03-06 09:30:00,2019-03-06 15:15:00,Long,2002.85,2004.5,49,EOD,-0.078,-77.66
2019-04-05 14:30:00,2019-04-05 15:15:00,Long,2044.37,2051.0,48,EOD,0.164,164.22
2019-06-04 15:00:00,2019-06-04 15:15:00,Short,2183.66,2189.0,45,EOD,-0.405,-404.65
2019-06-26 10:15:00,2019-06-26 15:15:00,Short,2256.07,2253.05,44,EOD,-0.026,-26.08
2019-07-05 10:45:00,2019-07-05 11:45:00,Short,2233.88,2198.14,44,TP,1.44,1440.0
2019-10-10 09:30:00,2019-10-10 09:45:00,Short,2018.94,2035.09,49,SL,-0.96,-960.0
2019-10-15 15:15:00,2019-10-16 15:15:00,Short,2034.68,2050.96,49,SL,-0.96,-960.0
2019-11-22 09:15:00,2019-11-22 13:00:00,Short,2095.95,2062.42,47,TP,1.44,1440.0
2019-12-31 14:30:00,2019-12-31 15:15:00,Short,2165.92,2165.0,46,EOD,-0.118,-117.69
2020-01-02 09:45:00,2020-01-02 15:15:00,Short,2163.42,2157.0,46,EOD,0.137,136.65
2020-01-10 14:45:00,2020-01-10 15:15:00,Short,2211.74,2213.0,45,EOD,-0.217,-216.81
2020-01-28 09:30:00,2020-01-28 12:30:00,Short,2153.17,2170.4,46,SL,-0.96,-960.0
2020-04-15 09:45:00,2020-04-15 12:15:00,Long,1774.89,1803.29,56,TP,1.44,1440.0
2020-04-21 09:30:00,2020-04-21 09:45:00,Short,1777.76,1749.32,56,TP,1.44,1440.0
2020-05-15 09:30:00,2020-05-15 15:15:00,Short,1887.06,1902.15,52,SL,-0.96,-960.0
2020-06-24 15:15:00,2020-06-25 11:00:00,Short,2041.83,2058.16,48,SL,-0.96,-960.0
2020-07-10 10:00:00,2020-07-10 12:00:00,Short,2188.86,2206.37,45,SL,-0.96,-960.0
2020-07-24 09:30:00,2020-07-24 11:30:00,Short,2140.38,2157.5,46,SL,-0.96,-960.0
2020-08-03 15:00:00,2020-08-03 15:15:00,Long,2269.23,2251.08,44,SL,-0.96,-960.0
2020-08-05 09:30:00,2020-08-05 10:00:00,Long,2259.88,2296.04,44,TP,1.44,1440.0
2020-08-20 10:00:00,2020-08-20 15:15:00,Short,2254.57,2249.0,44,EOD,0.087,87.15
2020-08-24 09:30:00,2020-08-24 12:15:00,Short,2234.13,2252.01,44,SL,-0.96,-960.0
2020-10-01 15:15:00,2020-10-09 09:15:00,Long,2525.21,2565.62,39,TP,1.44,1440.0
2020-11-13 09:30:00,2020-11-13 15:15:00,Short,2646.08,2661.0,37,EOD,-0.724,-723.99
2020-12-18 15:15:00,2020-12-21 09:15:00,Short,2850.32,2873.13,35,SL,-0.96,-960.0
2020-12-30 12:00:00,2020-12-30 15:15:00,Short,2921.04,2910.0,34,EOD,0.218,217.9
2021-04-22 15:00:00,2021-04-22 15:15:00,Short,3118.54,3121.55,32,EOD,-0.257,-256.52
