entry_dt,exit_dt,direction,entry_px,exit_px,shares,reason,pnl_pct,pnl_abs
2015-09-07 15:15:00,2015-09-08 14:15:00,Short,1266.6,1276.73,78,SL,-0.96,-960.0
2015-09-09 15:15:00,2015-09-10 10:15:00,Short,1273.86,1284.05,78,SL,-0.96,-960.0
2015-09-10 13:15:00,2015-09-10 15:15:00,Short,1274.14,1275.5,78,EOD,-0.267,-266.53
2015-09-14 14:30:00,2015-09-14 15:15:00,Short,1272.51,1274.5,78,EOD,-0.316,-316.11
2015-09-18 11:45:00,2015-09-18 14:45:00,Long,1293.4,1283.05,77,SL,-0.96,-960.0
2015-09-18 15:15:00,2015-09-21 15:15:00,Short,1275.64,1277.83,78,EOD,-0.332,-331.53
2015-09-22 09:15:00,2015-09-22 13:30:00,Long,1280.64,1270.39,78,SL,-0.96,-960.0
2015-09-22 13:45:00,2015-09-22 14:00:00,Short,1275.24,1254.84,78,TP,1.44,1440.0
2015-09-22 14:00:00,2015-09-22 15:15:00,Short,1266.12,1261.28,78,EOD,0.222,222.0
2015-09-24 11:45:00,2015-09-24 15:15:00,Long,1280.64,1289.5,78,EOD,0.532,531.84
2015-09-24 15:15:00,2015-10-01 09:30:00,Long,1290.64,1311.3,77,TP,1.44,1440.0
2015-10-01 09:30:00,2015-10-01 15:15:00,Long,1305.28,1320.33,76,EOD,0.993,992.83
2015-10-07 14:15:00,2015-10-07 15:15:00,Short,1336.91,1327.5,74,EOD,0.544,543.95
2015-10-12 12:45:00,2015-10-12 15:15:00,Short,1299.93,1299.03,76,EOD,-0.091,-90.79
2015-10-15 12:30:00,2015-10-15 15:15:00,Short,1238.01,1234.75,80,EOD,0.103,103.38
2015-10-19 11:30:00,2015-10-19 14:45:00,Short,1228.92,1238.75,81,SL,-0.96,-960.0
2015-10-19 15:15:00,2015-10-20 10:30:00,Long,1243.62,1263.52,80,TP,1.44,1440.0
2015-10-20 10:30:00,2015-10-20 15:15:00,Long,1260.86,1261.6,79,EOD,-0.101,-101.32
2015-10-21 14:15:00,2015-10-21 15:15:00,Short,1261.55,1263.0,79,EOD,-0.275,-275.02
2015-10-27 09:15:00,2015-10-27 15:15:00,Long,1265.66,1264.45,79,EOD,-0.256,-255.8
2015-10-30 09:30:00,2015-10-30 10:45:00,Short,1243.48,1253.43,80,SL,-0.96,-960.0
2015-11-06 11:30:00,2015-11-06 15:15:00,Long,1256.58,1252.6,79,EOD,-0.477,-476.57
2015-11-09 09:15:00,2015-11-09 15:15:00,Short,1245.38,1237.5,80,EOD,0.472,472.5
2015-11-18 11:00:00,2015-11-18 15:15:00,Short,1182.39,1174.83,84,EOD,0.479,479.26
2015-11-19 14:00:00,2015-11-19 15:15:00,Short,1179.64,1183.5,84,EOD,-0.487,-487.23
2015-11-20 10:45:00,2015-11-20 15:15:00,Long,1197.1,1198.5,83,EOD,-0.043,-42.9
2015-11-23 14:00:00,2015-11-23 15:15:00,Short,1195.9,1194.65,83,EOD,-0.055,-55.33
2015-11-24 14:45:00,2015-11-24 15:15:00,Short,1186.01,1183.5,84,EOD,0.051,51.36
2015-11-24 15:15:00,2015-11-26 15:15:00,Short,1182.79,1173.0,84,EOD,0.668,667.56
2015-11-27 09:15:00,2015-11-27 15:15:00,Short,1173.39,1177.5,85,EOD,-0.51,-510.01
2015-12-07 11:00:00,2015-12-07 15:15:00,Short,1157.92,1160.3,86,EOD,-0.365,-365.48
2015-12-09 13:45:00,2015-12-09 15:15:00,Long,1185.09,1185.0,84,EOD,-0.168,-167.78
2015-12-10 09:15:00,2015-12-10 15:15:00,Long,1184.99,1189.75,84,EOD,0.242,241.5
2015-12-10 15:15:00,2015-12-11 09:15:00,Long,1192.45,1182.91,83,SL,-0.96,-960.0
2015-12-17 12:45:00,2015-12-17 15:15:00,Long,1206.05,1217.05,82,EOD,0.752,751.84
2015-12-17 15:15:00,2015-12-18 09:15:00,Long,1220.44,1210.68,81,SL,-0.96,-960.0
2015-12-18 13:45:00,2015-12-18 14:00:00,Long,1216.51,1206.78,82,SL,-0.96,-960.0
2015-12-21 11:45:00,2015-12-21 15:15:00,Long,1218.14,1220.83,82,EOD,0.061,60.93
2015-12-22 11:30:00,2015-12-22 15:15:00,Short,1206.88,1203.5,82,EOD,0.12,119.75
