entry_dt,exit_dt,direction,entry_px,exit_px,shares,reason,pnl_pct,pnl_abs
2015-09-07 15:15:00,2015-09-08 15:15:00,Long,1267.86,1270.15,78,EOD,0.02,20.33
2015-09-09 09:30:00,2015-09-09 15:15:00,Short,1284.14,1275.5,77,EOD,0.513,512.64
2015-09-10 14:00:00,2015-09-10 15:15:00,Long,1271.87,1275.5,78,EOD,0.126,125.75
2015-09-11 15:15:00,2015-09-14 15:15:00,Long,1272.84,1274.5,78,EOD,-0.029,-29.28
2015-09-15 12:15:00,2015-09-15 15:15:00,Long,1272.47,1268.63,78,EOD,-0.461,-461.46
2015-09-16 09:30:00,2015-09-16 15:15:00,Short,1279.46,1274.0,78,EOD,0.267,266.74
2015-09-22 13:45:00,2015-09-22 14:00:00,Long,1276.52,1266.31,78,SL,-0.96,-960.0
2015-09-22 14:00:00,2015-09-22 14:15:00,Long,1267.38,1257.24,78,SL,-0.96,-960.0
2015-09-22 14:15:00,2015-09-22 15:15:00,Long,1259.36,1261.28,79,EOD,-0.007,-7.49
2015-09-23 14:00:00,2015-09-23 15:15:00,Short,1272.14,1267.33,78,EOD,0.218,218.39
2015-10-15 10:00:00,2015-10-15 15:15:00,Short,1248.88,1234.75,80,EOD,0.971,971.04
2015-10-16 10:15:00,2015-10-16 15:15:00,Short,1243.38,1236.0,80,EOD,0.433,433.38
2015-10-19 15:00:00,2015-10-19 15:15:00,Short,1239.96,1246.98,80,EOD,-0.726,-726.17
2015-10-20 14:30:00,2015-10-20 15:15:00,Long,1258.16,1261.6,79,EOD,0.114,113.51
2015-10-29 09:15:00,2015-10-29 14:45:00,Short,1266.15,1245.89,78,TP,1.44,1440.0
2015-11-06 09:30:00,2015-11-06 15:15:00,Short,1254.4,1252.6,79,EOD,-0.016,-16.31
2015-11-09 09:30:00,2015-11-09 11:45:00,Long,1245.62,1235.66,80,SL,-0.96,-960.0
2015-11-16 14:15:00,2015-11-16 15:15:00,Short,1188.21,1187.28,84,EOD,-0.082,-82.1
2015-11-17 09:30:00,2015-11-17 15:15:00,Short,1191.73,1195.0,83,EOD,-0.434,-434.07
2015-11-18 10:30:00,2015-11-18 13:15:00,Long,1185.64,1176.16,84,SL,-0.96,-960.0
2015-11-23 14:00:00,2015-11-23 15:15:00,Long,1197.1,1194.65,83,EOD,-0.365,-364.52
2015-12-07 09:30:00,2015-12-07 15:15:00,Long,1166.61,1160.3,85,EOD,-0.701,-701.14
2015-12-09 10:15:00,2015-12-09 12:15:00,Short,1172.44,1181.82,85,SL,-0.96,-960.0
2015-12-10 14:00:00,2015-12-10 15:15:00,Short,1187.79,1189.75,84,EOD,-0.325,-325.37
2015-12-10 15:15:00,2015-12-11 15:15:00,Short,1191.25,1191.5,83,EOD,-0.181,-180.64
2015-12-14 09:30:00,2015-12-14 15:15:00,Long,1182.09,1185.65,84,EOD,0.141,141.1
2015-12-14 15:15:00,2015-12-15 15:15:00,Short,1189.06,1189.75,84,EOD,-0.218,-218.44
2015-12-16 09:30:00,2015-12-16 12:15:00,Short,1196.28,1205.85,83,SL,-0.96,-960.0
