entry_dt,exit_dt,hold_days,direction,entry_px,exit_px,reason,pnl_pct,pnl_abs
2004-12-29,2004-12-31,2,Short,162.01,164.37,BAND,-1.617,-1617.35
2005-02-14,2005-03-01,15,Short,171.12,176.26,SL,-3.16,-3160.0
2005-06-06,2005-06-07,1,Long,159.47,157.26,BAND,-1.546,-1545.65
2005-06-07,2005-07-14,37,Long,158.71,153.95,SL,-3.16,-3160.0
2005-07-15,2005-10-28,105,Long,151.6,167.66,BAND,10.437,10436.76
2005-11-09,2005-11-14,5,Short,181.7,185.89,BAND,-2.467,-2466.5
2005-11-16,2006-02-28,104,Short,185.92,191.49,SL,-3.16,-3160.0
2006-04-13,2006-05-19,36,Long,222.27,232.92,BAND,4.631,4630.96
2006-07-04,2006-07-05,1,Short,222.79,226.79,BAND,-1.956,-1956.08
2006-07-05,2006-07-12,7,Short,223.53,230.23,SL,-3.16,-3160.0
2007-01-03,2007-01-11,8,Short,308.29,317.53,SL,-3.16,-3160.0
2007-05-04,2007-12-24,234,Short,319.61,273.17,BAND,14.37,14370.24
2008-04-08,2008-04-15,7,Short,222.67,229.35,SL,-3.16,-3160.0
2008-04-22,2009-01-09,262,Short,242.34,132.18,BAND,45.297,45296.52
2009-01-12,2009-01-13,1,Short,125.89,129.66,SL,-3.16,-3160.0
2009-02-24,2009-02-27,3,Long,115.76,112.29,SL,-3.16,-3160.0
2009-03-03,2010-04-29,422,Long,111.33,374.05,BAND,235.836,235836.29
2010-08-09,2010-09-13,35,Short,423.76,436.47,SL,-3.16,-3160.0
2010-11-22,2010-11-24,2,Long,500.45,494.67,BAND,-1.315,-1314.98
2011-01-12,2011-06-17,156,Long,546.7,546.09,BAND,-0.272,-272.17
2012-10-26,2012-11-12,17,Short,642.76,662.04,SL,-3.16,-3160.0
2013-04-05,2013-04-08,3,Long,741.32,729.01,BAND,-1.821,-1820.61
2013-04-08,2013-04-15,7,Long,738.32,716.17,SL,-3.16,-3160.0
2013-12-11,2013-12-19,8,Short,1023.04,1024.78,BAND,-0.33,-330.26
2013-12-20,2013-12-27,7,Short,1027.52,1058.34,SL,-3.16,-3160.0
2014-03-03,2014-04-15,43,Short,1117.91,1109.09,BAND,0.629,629.04
2014-07-17,2014-07-18,1,Short,1185.91,1221.48,SL,-3.16,-3160.0
2014-07-18,2014-07-21,3,Short,1206.58,1212.97,BAND,-0.69,-689.9
2014-07-22,2014-07-23,1,Short,1212.97,1249.36,SL,-3.16,-3160.0
2015-02-18,2015-02-19,1,Short,1291.88,1330.64,SL,-3.16,-3160.0
2015-04-10,2015-08-11,123,Short,1323.59,1302.1,BAND,1.463,1463.46
2015-10-05,2015-10-06,1,Short,1325.69,1350.0,BAND,-1.994,-1994.01
2015-10-06,2015-12-17,72,Short,1361.82,1219.88,BAND,10.263,10262.73
2016-01-13,2016-01-14,1,Long,1159.08,1139.4,BAND,-1.858,-1857.83
2016-07-26,2016-07-27,1,Short,1278.84,1288.78,BAND,-0.937,-937.25
2016-08-29,2016-09-07,9,Long,1268.11,1230.07,SL,-3.16,-3160.0
2017-05-15,2017-05-16,1,Short,1186.96,1214.58,BAND,-2.487,-2487.28
2017-06-16,2017-06-27,11,Long,1208.08,1171.84,SL,-3.16,-3160.0
2017-09-05,2018-03-16,192,Long,1230.62,1412.85,BAND,14.648,14648.45
2018-04-12,2018-04-13,1,Short,1504.25,1549.37,SL,-3.16,-3160.0
2018-04-13,2018-04-16,3,Short,1574.21,1593.83,BAND,-1.406,-1406.18
2018-08-24,2018-08-28,4,Short,2034.08,2069.2,BAND,-1.886,-1886.46
2018-12-26,2018-12-27,1,Long,1922.76,1908.95,BAND,-0.878,-878.28
2018-12-27,2018-12-28,1,Long,1909.95,1896.05,BAND,-0.888,-888.0
2018-12-28,2019-01-04,7,Long,1915.96,1858.48,SL,-3.16,-3160.0
2019-01-29,2019-01-30,1,Short,1961.02,1981.4,BAND,-1.199,-1199.31
2019-04-03,2019-04-15,12,Short,2083.96,2113.3,BAND,-1.568,-1568.02
2019-04-16,2019-04-18,2,Short,2118.94,2150.05,BAND,-1.628,-1628.19
2019-04-18,2019-04-26,8,Short,2148.83,2213.29,SL,-3.16,-3160.0
2019-09-24,2019-10-11,17,Long,2016.01,1955.53,SL,-3.16,-3160.0
2020-09-04,2020-09-07,3,Short,2273.86,2342.08,SL,-3.16,-3160.0
2020-09-08,2020-09-11,3,Short,2334.78,2374.1,BAND,-1.844,-1844.01
2020-11-24,2020-12-08,14,Short,2733.03,2797.3,BAND,-2.511,-2511.5
2020-12-09,2020-12-23,14,Short,2813.59,2898.0,SL,-3.16,-3160.0
2021-06-10,2021-06-11,1,Short,3208.4,3304.65,SL,-3.16,-3160.0
2021-06-11,2021-06-14,3,Short,3209.94,3306.24,SL,-3.16,-3160.0
2021-06-14,2021-06-24,10,Short,3277.36,3375.68,SL,-3.16,-3160.0
2021-08-04,2021-08-05,1,Short,3298.35,3283.95,BAND,0.277,276.58
2021-08-05,2021-08-06,1,Short,3273.36,3309.8,BAND,-1.273,-1273.15
2021-08-06,2021-08-09,3,Short,3270.91,3322.7,BAND,-1.743,-1743.24
2021-08-09,2021-08-10,1,Short,3322.24,3333.9,BAND,-0.511,-511.03
2021-08-10,2021-08-20,10,Short,3313.94,3413.36,SL,-3.16,-3160.0
2023-07-03,2023-07-04,1,Short,3312.64,3308.85,BAND,-0.046,-45.5
2023-07-05,2023-07-14,9,Short,3318.34,3417.89,SL,-3.16,-3160.0
2023-12-08,2023-12-15,7,Short,3631.18,3740.12,SL,-3.16,-3160.0
2024-08-23,2024-08-26,3,Short,4497.75,4502.45,BAND,-0.264,-264.5
2024-08-26,2024-11-25,91,Short,4486.76,4315.1,BAND,3.666,3665.83
2024-12-23,2024-12-31,8,Long,4202.15,4076.09,SL,-3.16,-3160.0
2025-04-04,2025-04-07,3,Long,3364.28,3263.35,SL,-3.16,-3160.0
2025-04-07,2025-08-18,133,Long,3101.55,3008.5,SL,-3.16,-3160.0
2025-08-19,2025-09-25,37,Long,3012.71,2957.4,BAND,-1.996,-1995.75
2025-11-13,2025-12-04,21,Short,3130.23,3224.14,SL,-3.16,-3160.0
