trade_id,entry_date,entry_time,exit_date,exit_time,position,entry_price,exit_price,sl,tp,qty,pnl_pts,pnl_pct,pnl_amount,exit_reason
20,2015-10-13,13:15:00,2015-10-13,15:00:00,SHORT,8107.25,8131.75,8118.71,8084.32,87,-24.5,-0.302,-2131.5,Time Exit
21,2015-10-15,10:15:00,2015-10-15,15:00:00,LONG,8169.3,8178.75,8153.7,8200.5,62,9.45,0.116,585.9,Time Exit
22,2015-10-16,11:15:00,2015-10-16,13:45:00,SHORT,8159.75,8171.68,8171.68,8135.89,82,-11.93,-0.146,-978.14,Stop Loss
23,2015-10-20,10:00:00,2015-10-20,13:45:00,SHORT,8283.05,8256.64,8296.25,8256.64,73,26.41,0.319,1927.72,Take Profit
24,2015-10-26,10:15:00,2015-10-26,15:00:00,SHORT,8297.95,8259.9,8319.0,8255.84,47,38.05,0.459,1788.35,Time Exit
25,2015-10-28,09:45:00,2015-10-28,12:45:00,SHORT,8206.2,8184.16,8217.22,8184.16,91,22.04,0.269,2005.25,Take Profit
26,2015-10-29,13:15:00,2015-10-29,13:45:00,LONG,8125.7,8115.15,8115.15,8146.81,97,-10.55,-0.13,-1023.7,Stop Loss
27,2015-10-30,10:30:00,2015-10-30,12:45:00,SHORT,8136.3,8106.71,8151.1,8106.71,69,29.59,0.364,2041.91,Take Profit
28,2015-11-02,11:30:00,2015-11-02,14:45:00,SHORT,8015.0,8032.26,8032.26,7980.47,60,-17.26,-0.215,-1035.86,Stop Loss
29,2015-11-04,10:30:00,2015-11-04,13:45:00,LONG,8087.15,8069.32,8069.32,8122.81,58,-17.83,-0.22,-1034.26,Stop Loss
30,2015-11-05,10:00:00,2015-11-05,11:30:00,SHORT,8001.7,8016.34,8016.34,7972.41,69,-14.64,-0.183,-1010.36,Stop Loss
31,2015-11-06,10:00:00,2015-11-06,11:00:00,SHORT,7954.15,7973.53,7973.53,7915.39,52,-19.38,-0.244,-1007.87,Stop Loss
32,2015-11-09,09:30:00,2015-11-09,10:00:00,SHORT,7832.75,7863.09,7863.09,7772.08,33,-30.34,-0.387,-1001.08,Stop Loss
33,2015-11-10,13:15:00,2015-11-10,13:45:00,SHORT,7820.2,7831.34,7831.34,7797.93,89,-11.14,-0.142,-991.08,Stop Loss
34,2015-11-16,09:45:00,2015-11-16,10:15:00,SHORT,7721.4,7734.89,7734.89,7694.43,72,-13.49,-0.175,-970.97,Stop Loss
35,2015-11-17,14:00:00,2015-11-17,15:00:00,SHORT,7856.55,7841.75,7870.74,7828.18,68,14.8,0.188,1006.4,Time Exit
36,2015-11-18,11:00:00,2015-11-18,12:00:00,SHORT,7818.5,7832.26,7832.26,7790.97,71,-13.76,-0.176,-977.26,Stop Loss
37,2015-11-19,13:30:00,2015-11-19,14:00:00,LONG,7834.95,7822.09,7822.09,7860.67,75,-12.86,-0.164,-964.55,Stop Loss
38,2015-11-20,12:00:00,2015-11-20,12:30:00,LONG,7899.55,7882.29,7882.29,7934.07,55,-17.26,-0.219,-949.34,Stop Loss
39,2015-11-23,13:30:00,2015-11-23,14:15:00,SHORT,7831.9,7842.95,7842.95,7809.79,86,-11.05,-0.141,-950.61,Stop Loss
40,2015-11-24,09:30:00,2015-11-24,10:00:00,SHORT,7848.2,7862.5,7862.5,7819.6,66,-14.3,-0.182,-943.8,Stop Loss
41,2015-12-01,12:00:00,2015-12-01,15:00:00,SHORT,7963.8,7955.9,7978.44,7934.53,64,7.9,0.099,505.6,Time Exit
42,2015-12-02,10:00:00,2015-12-02,10:30:00,SHORT,7954.45,7928.96,7967.2,7928.96,73,25.49,0.32,1860.98,Take Profit
43,2015-12-03,13:00:00,2015-12-03,13:30:00,SHORT,7881.85,7890.43,7890.43,7864.69,111,-8.58,-0.109,-952.62,Stop Loss
44,2015-12-04,10:45:00,2015-12-04,13:00:00,SHORT,7793.25,7809.62,7809.62,7760.5,58,-16.38,-0.21,-949.75,Stop Loss
45,2015-12-07,11:30:00,2015-12-07,12:30:00,LONG,7786.65,7772.94,7772.94,7814.06,68,-13.71,-0.176,-932.09,Stop Loss
46,2015-12-08,11:30:00,2015-12-08,15:00:00,SHORT,7735.95,7699.65,7747.71,7712.43,79,36.3,0.469,2867.7,Time Exit
47,2015-12-09,10:15:00,2015-12-09,14:00:00,SHORT,7671.85,7644.69,7685.43,7644.69,70,27.16,0.354,1901.5,Take Profit
48,2015-12-10,11:00:00,2015-12-10,11:15:00,SHORT,7610.7,7627.24,7627.24,7577.63,59,-16.54,-0.217,-975.61,Stop Loss
49,2015-12-11,12:00:00,2015-12-11,12:45:00,SHORT,7631.7,7602.41,7646.35,7602.41,66,29.29,0.384,1933.33,Take Profit
50,2015-12-14,10:15:00,2015-12-14,13:30:00,SHORT,7634.4,7658.81,7658.81,7585.59,40,-24.41,-0.32,-976.29,Stop Loss
51,2015-12-16,10:00:00,2015-12-16,13:30:00,LONG,7756.05,7740.25,7740.25,7787.66,62,-15.8,-0.204,-979.82,Stop Loss
52,2015-12-17,10:00:00,2015-12-17,13:45:00,SHORT,7759.5,7776.3,7776.3,7725.9,57,-16.8,-0.217,-957.6,Stop Loss
53,2015-12-18,10:45:00,2015-12-18,15:00:00,SHORT,7796.0,7763.3,7814.18,7759.64,52,32.7,0.419,1700.4,Time Exit
54,2015-12-21,10:00:00,2015-12-21,10:30:00,SHORT,7787.7,7805.62,7805.62,7751.85,54,-17.93,-0.23,-967.95,Stop Loss
55,2015-12-22,14:15:00,2015-12-22,14:30:00,SHORT,7782.7,7794.25,7794.25,7759.61,83,-11.55,-0.148,-958.35,Stop Loss
56,2015-12-24,11:45:00,2015-12-24,14:00:00,SHORT,7858.8,7841.83,7867.29,7841.83,112,16.97,0.216,1900.8,Take Profit
57,2015-12-30,14:15:00,2015-12-30,14:30:00,SHORT,7914.25,7921.21,7921.21,7900.33,139,-6.96,-0.088,-967.54,Stop Loss
58,2015-12-31,11:00:00,2015-12-31,13:45:00,SHORT,7911.2,7921.0,7921.0,7891.59,98,-9.8,-0.124,-960.75,Stop Loss
59,2016-01-01,09:45:00,2016-01-01,13:30:00,LONG,7933.7,7957.99,7921.55,7957.99,78,24.29,0.306,1894.84,Take Profit
60,2016-01-04,10:00:00,2016-01-04,11:00:00,SHORT,7885.65,7851.16,7902.89,7851.16,56,34.49,0.437,1931.2,Take Profit
61,2016-01-06,14:00:00,2016-01-06,14:15:00,SHORT,7723.65,7737.55,7737.55,7695.86,71,-13.9,-0.18,-986.65,Stop Loss
62,2016-01-07,09:30:00,2016-01-07,14:30:00,SHORT,7626.65,7578.66,7650.65,7578.66,41,47.99,0.629,1967.71,Take Profit
63,2016-01-11,10:30:00,2016-01-11,11:45:00,SHORT,7538.1,7559.53,7559.53,7495.24,47,-21.43,-0.284,-1007.14,Stop Loss
64,2016-01-12,11:00:00,2016-01-12,12:00:00,LONG,7529.6,7508.61,7508.61,7571.58,47,-20.99,-0.279,-986.5,Stop Loss
65,2016-01-13,11:15:00,2016-01-13,12:45:00,SHORT,7483.8,7435.34,7508.03,7435.34,40,48.46,0.648,1938.57,Take Profit
66,2016-01-14,10:45:00,2016-01-14,12:00:00,SHORT,7513.1,7544.65,7544.65,7449.99,32,-31.55,-0.42,-1009.71,Stop Loss
67,2016-01-15,14:15:00,2016-01-15,14:30:00,SHORT,7490.2,7456.83,7506.89,7456.83,59,33.37,0.446,1968.91,Take Profit
68,2016-01-18,12:15:00,2016-01-18,13:45:00,SHORT,7403.45,7427.0,7427.0,7356.36,43,-23.55,-0.318,-1012.5,Stop Loss
69,2016-01-19,12:45:00,2016-01-19,14:30:00,LONG,7428.5,7410.62,7410.62,7464.26,56,-17.88,-0.241,-1001.2,Stop Loss
70,2016-01-20,09:30:00,2016-01-20,14:30:00,SHORT,7302.6,7246.6,7330.6,7246.6,35,56.0,0.767,1960.0,Take Profit
71,2016-01-21,12:15:00,2016-01-21,13:15:00,LONG,7279.25,7251.58,7251.58,7334.59,36,-27.67,-0.38,-996.17,Stop Loss
72,2016-01-22,13:00:00,2016-01-22,14:00:00,LONG,7413.75,7399.96,7399.96,7441.32,72,-13.79,-0.186,-992.57,Stop Loss
73,2016-01-29,12:30:00,2016-01-29,15:00:00,LONG,7513.1,7568.15,7493.24,7552.82,50,55.05,0.733,2752.5,Time Exit
74,2016-02-01,14:30:00,2016-02-01,15:00:00,SHORT,7544.5,7557.75,7560.7,7512.11,63,-13.25,-0.176,-834.75,Time Exit
75,2016-02-02,11:00:00,2016-02-02,11:30:00,SHORT,7521.1,7537.07,7537.07,7489.16,63,-15.97,-0.212,-1005.97,Stop Loss
76,2016-02-03,13:15:00,2016-02-03,13:45:00,SHORT,7414.75,7383.57,7430.34,7383.57,64,31.18,0.42,1995.43,Take Profit
77,2016-02-04,13:00:00,2016-02-04,13:30:00,LONG,7444.25,7429.27,7429.27,7474.2,68,-14.98,-0.201,-1018.3,Stop Loss
78,2016-02-05,11:00:00,2016-02-05,15:00:00,LONG,7463.4,7482.65,7442.82,7504.56,49,19.25,0.258,943.25,Time Exit
79,2016-02-08,13:45:00,2016-02-08,14:30:00,SHORT,7503.15,7475.01,7517.22,7475.01,72,28.14,0.375,2025.77,Take Profit
80,2016-02-09,11:30:00,2016-02-09,13:15:00,SHORT,7281.15,7307.11,7307.11,7229.23,40,-25.96,-0.357,-1038.43,Stop Loss
81,2016-02-10,09:30:00,2016-02-10,13:45:00,SHORT,7238.0,7198.71,7257.64,7198.71,52,39.29,0.543,2042.86,Take Profit
82,2016-02-11,09:30:00,2016-02-11,13:00:00,SHORT,7165.4,7110.84,7192.68,7110.84,38,54.56,0.761,2073.44,Take Profit
83,2016-02-12,11:30:00,2016-02-12,13:00:00,SHORT,6924.2,6959.61,6959.61,6853.38,30,-35.41,-0.511,-1062.32,Stop Loss
84,2016-02-15,11:45:00,2016-02-15,15:00:00,LONG,7140.9,7162.75,7112.1,7198.51,37,21.85,0.306,808.45,Time Exit
85,2016-02-16,11:15:00,2016-02-16,14:30:00,SHORT,7118.45,7073.71,7140.82,7073.71,48,44.74,0.628,2147.31,Take Profit
86,2016-02-17,11:15:00,2016-02-17,14:30:00,SHORT,7049.1,7078.76,7078.76,6989.77,37,-29.66,-0.421,-1097.58,Stop Loss
87,2016-02-18,14:15:00,2016-02-18,14:45:00,LONG,7145.15,7185.87,7124.79,7185.87,53,40.72,0.57,2158.24,Take Profit
88,2016-02-19,10:45:00,2016-02-19,14:30:00,SHORT,7191.95,7214.1,7214.1,7147.64,49,-22.15,-0.308,-1085.53,Stop Loss
89,2016-02-22,09:30:00,2016-02-22,11:30:00,LONG,7234.3,7217.29,7217.29,7268.32,64,-17.01,-0.235,-1088.69,Stop Loss
90,2016-02-29,09:45:00,2016-02-29,11:00:00,SHORT,7009.15,7036.2,7036.2,6955.04,40,-27.05,-0.386,-1082.14,Stop Loss
91,2016-03-01,13:00:00,2016-03-01,14:00:00,LONG,7173.0,7200.73,7159.14,7200.73,77,27.73,0.387,2135.1,Take Profit
92,2016-03-03,12:15:00,2016-03-03,13:00:00,SHORT,7443.95,7461.6,7461.6,7408.66,61,-17.65,-0.237,-1076.43,Stop Loss
93,2016-03-04,09:30:00,2016-03-04,14:00:00,LONG,7453.65,7489.41,7435.77,7489.41,60,35.76,0.48,2145.43,Take Profit
94,2016-03-08,09:30:00,2016-03-08,13:00:00,SHORT,7521.15,7482.68,7540.39,7482.68,57,38.47,0.512,2192.87,Take Profit
95,2016-03-09,12:00:00,2016-03-09,12:15:00,SHORT,7459.6,7475.76,7475.76,7427.28,69,-16.16,-0.217,-1115.09,Stop Loss
96,2016-03-10,09:45:00,2016-03-10,10:00:00,LONG,7496.95,7480.6,7480.6,7529.64,68,-16.35,-0.218,-1111.56,Stop Loss
97,2016-03-11,11:45:00,2016-03-11,12:00:00,SHORT,7471.45,7490.48,7490.48,7433.39,58,-19.03,-0.255,-1103.66,Stop Loss
98,2016-03-14,12:30:00,2016-03-14,13:00:00,SHORT,7527.65,7542.53,7542.53,7497.89,73,-14.88,-0.198,-1086.14,Stop Loss
99,2016-03-15,10:00:00,2016-03-15,14:00:00,SHORT,7495.5,7463.11,7511.69,7463.11,66,32.39,0.432,2137.46,Take Profit
100,2016-03-16,11:30:00,2016-03-16,13:15:00,SHORT,7412.65,7426.15,7426.15,7385.64,81,-13.5,-0.182,-1093.79,Stop Loss
101,2016-03-18,10:00:00,2016-03-18,14:45:00,SHORT,7555.85,7577.17,7577.17,7513.21,51,-21.32,-0.282,-1087.21,Stop Loss
102,2016-03-22,09:30:00,2016-03-22,10:30:00,LONG,7674.35,7707.56,7657.74,7707.56,65,33.21,0.433,2158.93,Take Profit
103,2016-03-23,10:45:00,2016-03-23,13:30:00,SHORT,7678.85,7695.4,7695.4,7645.75,66,-16.55,-0.216,-1092.3,Stop Loss
104,2016-03-28,10:30:00,2016-03-28,11:00:00,LONG,7698.0,7681.8,7681.8,7730.41,67,-16.2,-0.21,-1085.64,Stop Loss
105,2016-04-05,11:15:00,2016-04-05,11:30:00,SHORT,7665.7,7686.33,7686.33,7624.44,52,-20.63,-0.269,-1072.87,Stop Loss
106,2016-04-07,09:45:00,2016-04-07,11:30:00,SHORT,7568.5,7587.34,7587.34,7530.83,56,-18.84,-0.249,-1054.8,Stop Loss
107,2016-04-08,10:45:00,2016-04-08,15:00:00,SHORT,7561.1,7551.1,7576.9,7529.5,67,10.0,0.132,670.0,Time Exit
108,2016-04-11,13:00:00,2016-04-11,13:15:00,SHORT,7530.05,7541.8,7541.8,7506.54,90,-11.75,-0.156,-1057.82,Stop Loss
109,2016-04-13,10:45:00,2016-04-13,15:00:00,LONG,7833.4,7848.65,7815.01,7870.18,57,15.25,0.195,869.25,Time Exit
110,2016-04-18,13:00:00,2016-04-18,13:30:00,SHORT,7898.4,7910.23,7910.23,7874.74,89,-11.83,-0.15,-1052.74,Stop Loss
111,2016-04-20,10:30:00,2016-04-20,15:00:00,SHORT,7906.05,7911.45,7921.78,7874.59,66,-5.4,-0.068,-356.4,Time Exit
112,2016-04-21,10:45:00,2016-04-21,14:45:00,SHORT,7937.95,7902.89,7955.48,7902.89,59,35.06,0.442,2068.79,Take Profit
113,2016-04-22,10:00:00,2016-04-22,12:00:00,SHORT,7905.15,7921.54,7921.54,7872.36,65,-16.39,-0.207,-1065.54,Stop Loss
114,2016-04-25,10:00:00,2016-04-25,11:30:00,SHORT,7873.85,7845.39,7888.08,7845.39,74,28.46,0.361,2105.83,Take Profit
115,2016-04-26,13:45:00,2016-04-26,15:00:00,LONG,7960.4,7965.15,7944.7,7991.8,68,4.75,0.06,323.0,Time Exit
116,2016-04-28,11:00:00,2016-04-28,12:30:00,SHORT,7931.15,7903.74,7944.86,7903.74,79,27.41,0.346,2165.73,Take Profit
117,2016-04-29,12:45:00,2016-04-29,15:00:00,SHORT,7809.85,7855.5,7830.34,7768.88,54,-45.65,-0.585,-2465.1,Time Exit
118,2016-05-09,09:30:00,2016-05-09,10:00:00,SHORT,7814.1,7831.65,7831.65,7779.01,61,-17.55,-0.225,-1070.33,Stop Loss
119,2016-05-11,09:30:00,2016-05-11,10:45:00,SHORT,7856.8,7877.08,7877.08,7816.24,52,-20.28,-0.258,-1054.49,Stop Loss
120,2016-05-12,14:30:00,2016-05-12,15:00:00,SHORT,7892.7,7900.1,7904.37,7869.36,90,-7.4,-0.094,-666.0,Time Exit
121,2016-05-13,09:30:00,2016-05-13,12:15:00,SHORT,7837.3,7801.82,7855.04,7801.82,59,35.48,0.453,2093.24,Take Profit
122,2016-05-16,10:00:00,2016-05-16,14:00:00,SHORT,7801.9,7817.39,7817.39,7770.92,69,-15.49,-0.199,-1068.76,Stop Loss
123,2016-05-18,11:45:00,2016-05-18,12:00:00,SHORT,7817.8,7833.37,7833.37,7786.66,68,-15.57,-0.199,-1058.61,Stop Loss
124,2016-05-19,09:30:00,2016-05-19,12:45:00,LONG,7836.55,7819.88,7819.88,7869.89,63,-16.67,-0.213,-1050.08,Stop Loss
125,2016-05-23,09:45:00,2016-05-23,12:30:00,LONG,7771.15,7753.17,7753.17,7807.11,58,-17.98,-0.231,-1042.76,Stop Loss
126,2016-05-25,10:45:00,2016-05-25,13:30:00,LONG,7864.1,7898.18,7847.06,7898.18,60,34.08,0.433,2044.71,Take Profit
127,2016-05-26,14:30:00,2016-05-26,15:00:00,SHORT,8030.55,8072.35,8042.65,8006.35,86,-41.8,-0.521,-3594.8,Time Exit
128,2016-05-27,11:15:00,2016-05-27,15:00:00,LONG,8132.2,8152.7,8114.04,8168.53,56,20.5,0.252,1148.0,Time Exit
129,2016-05-31,09:45:00,2016-05-31,14:45:00,SHORT,8162.15,8177.39,8177.39,8131.66,67,-15.24,-0.187,-1021.27,Stop Loss
130,2016-06-01,14:30:00,2016-06-01,15:00:00,SHORT,8183.95,8177.4,8196.41,8159.04,81,6.55,0.08,530.55,Time Exit
131,2016-06-02,11:15:00,2016-06-02,12:45:00,SHORT,8161.55,8174.28,8174.28,8136.09,80,-12.73,-0.156,-1018.57,Stop Loss
132,2016-06-03,13:45:00,2016-06-03,15:00:00,SHORT,8233.7,8226.25,8244.23,8212.64,95,7.45,0.09,707.75,Time Exit
133,2016-06-13,13:15:00,2016-06-13,13:30:00,SHORT,8105.55,8118.11,8118.11,8080.42,81,-12.56,-0.155,-1017.71,Stop Loss
134,2016-06-14,13:30:00,2016-06-14,13:45:00,LONG,8091.65,8082.6,8082.6,8109.75,111,-9.05,-0.112,-1004.55,Stop Loss
135,2016-06-16,10:00:00,2016-06-16,13:45:00,SHORT,8107.05,8125.47,8125.47,8070.21,54,-18.42,-0.227,-994.56,Stop Loss
136,2016-06-17,14:30:00,2016-06-17,14:45:00,SHORT,8140.55,8153.84,8153.84,8113.98,74,-13.29,-0.163,-983.14,Stop Loss
137,2016-06-20,09:30:00,2016-06-20,09:45:00,SHORT,8162.1,8180.93,8180.93,8124.44,52,-18.83,-0.231,-979.27,Stop Loss
138,2016-06-27,09:30:00,2016-06-27,15:00:00,SHORT,8098.45,8095.7,8120.84,8053.68,43,2.75,0.034,118.25,Time Exit
139,2016-06-28,13:15:00,2016-06-28,13:45:00,LONG,8135.7,8126.98,8126.98,8153.14,110,-8.72,-0.107,-959.36,Stop Loss
140,2016-06-29,14:30:00,2016-06-29,15:00:00,LONG,8195.65,8201.5,8187.27,8212.41,114,5.85,0.071,666.9,Time Exit
141,2016-06-30,12:30:00,2016-06-30,13:00:00,SHORT,8245.8,8258.79,8258.79,8219.81,74,-12.99,-0.158,-961.47,Stop Loss
142,2016-07-01,11:00:00,2016-07-01,13:15:00,LONG,8348.8,8332.71,8332.71,8380.97,59,-16.09,-0.193,-949.06,Stop Loss
143,2016-07-04,13:00:00,2016-07-04,14:15:00,SHORT,8375.2,8383.48,8383.48,8358.64,114,-8.28,-0.099,-944.16,Stop Loss
144,2016-07-05,10:15:00,2016-07-05,11:45:00,SHORT,8352.35,8362.61,8362.61,8331.83,91,-10.26,-0.123,-933.72,Stop Loss
145,2016-07-08,09:45:00,2016-07-08,10:30:00,SHORT,8302.6,8317.19,8317.19,8273.43,63,-14.59,-0.176,-918.9,Stop Loss
146,2016-07-11,10:30:00,2016-07-11,15:00:00,LONG,8455.0,8468.75,8436.44,8492.11,49,13.75,0.163,673.75,Time Exit
147,2016-07-12,14:30:00,2016-07-12,15:00:00,SHORT,8507.85,8523.8,8515.79,8491.97,116,-15.95,-0.187,-1850.2,Time Exit
148,2016-07-13,10:45:00,2016-07-13,14:00:00,SHORT,8509.3,8520.7,8520.7,8486.49,79,-11.4,-0.134,-900.88,Stop Loss
149,2016-07-14,11:45:00,2016-07-14,12:30:00,SHORT,8533.9,8545.5,8545.5,8510.71,77,-11.6,-0.136,-892.93,Stop Loss
150,2016-07-15,10:30:00,2016-07-15,13:00:00,SHORT,8535.75,8553.47,8553.47,8500.31,50,-17.72,-0.208,-886.07,Stop Loss
151,2016-07-18,13:15:00,2016-07-18,13:45:00,SHORT,8557.5,8539.81,8566.34,8539.81,99,17.69,0.207,1750.89,Take Profit
152,2016-07-19,10:30:00,2016-07-19,13:15:00,SHORT,8522.1,8489.36,8538.47,8489.36,55,32.74,0.384,1800.46,Take Profit
153,2016-07-20,10:00:00,2016-07-20,15:00:00,LONG,8550.35,8565.55,8533.78,8583.49,55,15.2,0.178,836.0,Time Exit
154,2016-07-21,12:00:00,2016-07-21,13:15:00,SHORT,8551.45,8529.46,8562.45,8529.46,84,21.99,0.257,1847.4,Take Profit
155,2016-07-22,11:30:00,2016-07-22,12:00:00,SHORT,8523.2,8537.44,8537.44,8494.72,66,-14.24,-0.167,-939.79,Stop Loss
156,2016-07-25,12:15:00,2016-07-25,13:15:00,LONG,8580.45,8606.01,8567.67,8606.01,73,25.56,0.298,1865.67,Take Profit
157,2016-08-01,10:15:00,2016-08-01,11:45:00,SHORT,8710.6,8669.65,8731.08,8669.65,46,40.95,0.47,1883.7,Take Profit
158,2016-08-02,12:30:00,2016-08-02,13:00:00,SHORT,8640.2,8656.19,8656.19,8608.23,60,-15.99,-0.185,-959.14,Stop Loss
159,2016-08-03,09:30:00,2016-08-03,10:00:00,SHORT,8569.5,8588.42,8588.42,8531.66,51,-18.92,-0.221,-964.81,Stop Loss
160,2016-08-04,13:15:00,2016-08-04,14:15:00,SHORT,8539.9,8519.15,8550.27,8519.15,91,20.75,0.243,1888.25,Take Profit
161,2016-08-05,10:45:00,2016-08-05,15:00:00,LONG,8639.25,8684.95,8622.32,8673.11,57,45.7,0.529,2604.9,Time Exit
162,2016-08-09,09:30:00,2016-08-09,11:00:00,SHORT,8698.6,8674.79,8710.51,8674.79,83,23.81,0.274,1976.59,Take Profit
163,2016-08-10,10:00:00,2016-08-10,13:45:00,SHORT,8615.4,8577.76,8634.22,8577.76,54,37.64,0.437,2032.33,Take Profit
164,2016-08-12,10:15:00,2016-08-12,11:45:00,LONG,8668.1,8648.61,8648.61,8707.07,53,-19.49,-0.225,-1032.74,Stop Loss
165,2016-08-16,11:30:00,2016-08-16,14:30:00,SHORT,8627.3,8644.1,8644.1,8593.69,61,-16.8,-0.195,-1025.02,Stop Loss
166,2016-08-17,13:00:00,2016-08-17,13:30:00,SHORT,8635.45,8611.57,8647.39,8611.57,85,23.88,0.277,2029.68,Take Profit
167,2016-08-18,11:00:00,2016-08-18,14:00:00,LONG,8679.0,8665.5,8665.5,8705.99,76,-13.5,-0.156,-1025.73,Stop Loss
168,2016-08-19,10:45:00,2016-08-19,11:45:00,SHORT,8668.95,8680.1,8680.1,8646.64,92,-11.15,-0.129,-1026.13,Stop Loss
169,2016-08-22,09:45:00,2016-08-22,15:00:00,SHORT,8637.05,8629.65,8650.25,8610.66,77,7.4,0.086,569.8,Time Exit
170,2016-08-23,13:45:00,2016-08-23,14:15:00,SHORT,8596.05,8605.83,8605.83,8576.49,104,-9.78,-0.114,-1017.34,Stop Loss
171,2016-08-25,12:45:00,2016-08-25,13:30:00,SHORT,8661.5,8647.89,8668.31,8647.89,148,13.61,0.157,2014.91,Take Profit
172,2016-08-31,09:45:00,2016-08-31,12:15:00,LONG,8800.8,8771.46,8771.46,8859.48,35,-29.34,-0.333,-1026.88,Stop Loss
173,2016-09-01,11:45:00,2016-09-01,12:45:00,SHORT,8772.9,8788.22,8788.22,8742.26,66,-15.32,-0.175,-1011.21,Stop Loss
174,2016-09-02,09:45:00,2016-09-02,11:30:00,SHORT,8773.6,8789.65,8789.65,8741.49,63,-16.05,-0.183,-1011.37,Stop Loss
175,2016-09-06,09:45:00,2016-09-06,14:30:00,LONG,8883.65,8914.13,8868.41,8914.13,65,30.48,0.343,1981.11,Take Profit
176,2016-09-07,14:30:00,2016-09-07,14:45:00,SHORT,8918.5,8929.97,8929.97,8895.56,89,-11.47,-0.129,-1020.96,Stop Loss
177,2016-09-08,10:15:00,2016-09-08,12:45:00,SHORT,8925.0,8939.44,8939.44,8896.11,70,-14.44,-0.162,-1011.0,Stop Loss
178,2016-09-09,10:00:00,2016-09-09,13:00:00,SHORT,8878.0,8894.16,8894.16,8845.68,62,-16.16,-0.182,-1001.96,Stop Loss
179,2016-09-12,12:00:00,2016-09-12,15:00:00,SHORT,8741.15,8712.85,8763.44,8696.56,44,28.3,0.324,1245.2,Time Exit
180,2016-09-14,10:15:00,2016-09-14,10:45:00,SHORT,8694.95,8709.12,8709.12,8666.61,70,-14.17,-0.163,-991.75,Stop Loss
181,2016-09-15,14:15:00,2016-09-15,15:00:00,LONG,8735.05,8737.75,8724.5,8756.14,94,2.7,0.031,253.8,Time Exit
