trade_id,entry_date,entry_time,exit_date,exit_time,position,entry_price,exit_price,sl,tp,qty,pnl_pts,pnl_pct,pnl_amount,exit_reason
0,2015-09-03,14:30:00,2015-09-03,15:00:00,LONG,7826.45,7823.1,7807.76,7863.82,54,-3.35,-0.043,-180.9,Time Exit
1,2015-09-04,09:30:00,2015-09-04,15:00:00,SHORT,7666.65,7654.25,7695.92,7608.11,34,12.4,0.162,421.6,Time Exit
2,2015-09-07,14:30:00,2015-09-07,15:00:00,SHORT,7585.05,7559.95,7601.28,7552.59,62,25.1,0.331,1556.2,Time Exit
3,2015-09-08,13:15:00,2015-09-08,14:15:00,LONG,7644.05,7691.24,7620.45,7691.24,43,47.19,0.617,2029.29,Take Profit
4,2015-09-10,10:45:00,2015-09-10,12:00:00,SHORT,7722.4,7749.93,7749.93,7667.34,38,-27.53,-0.357,-1046.22,Stop Loss
5,2015-09-11,13:45:00,2015-09-11,14:45:00,SHORT,7794.25,7813.38,7813.38,7756.0,54,-19.12,-0.245,-1032.75,Stop Loss
6,2015-09-14,10:30:00,2015-09-14,14:30:00,SHORT,7825.15,7849.92,7849.92,7775.61,41,-24.77,-0.317,-1015.48,Stop Loss
7,2015-09-15,13:45:00,2015-09-15,14:30:00,SHORT,7810.3,7823.99,7823.99,7782.92,74,-13.69,-0.175,-1013.01,Stop Loss
8,2015-09-16,13:00:00,2015-09-16,14:15:00,LONG,7902.05,7889.71,7889.71,7926.72,81,-12.34,-0.156,-999.19,Stop Loss
9,2015-09-18,10:30:00,2015-09-18,14:30:00,LONG,8026.55,8004.87,8004.87,8069.91,46,-21.68,-0.27,-997.38,Stop Loss
10,2015-09-21,11:15:00,2015-09-21,14:45:00,SHORT,7963.4,7985.06,7985.06,7920.09,45,-21.66,-0.272,-974.57,Stop Loss
11,2015-09-22,13:15:00,2015-09-22,13:45:00,SHORT,7943.4,7917.61,7956.29,7917.61,75,25.79,0.325,1933.93,Take Profit
12,2015-09-23,12:15:00,2015-09-23,13:00:00,SHORT,7809.85,7833.5,7833.5,7762.56,42,-23.65,-0.303,-993.15,Stop Loss
13,2015-10-01,13:45:00,2015-10-01,14:30:00,SHORT,7939.9,7956.44,7956.44,7906.83,59,-16.54,-0.208,-975.61,Stop Loss
14,2015-10-05,09:30:00,2015-10-05,14:15:00,LONG,8058.2,8103.38,8035.61,8103.38,43,45.18,0.561,1942.68,Take Profit
15,2015-10-06,12:00:00,2015-10-06,13:30:00,SHORT,8117.3,8133.87,8133.87,8084.16,60,-16.57,-0.204,-994.07,Stop Loss
16,2015-10-07,12:45:00,2015-10-07,13:00:00,SHORT,8141.3,8156.18,8156.18,8111.54,66,-14.88,-0.183,-982.22,Stop Loss
17,2015-10-08,09:45:00,2015-10-08,11:45:00,SHORT,8153.3,8115.51,8172.19,8115.51,51,37.79,0.463,1927.07,Take Profit
18,2015-10-09,13:00:00,2015-10-09,14:00:00,SHORT,8155.0,8169.44,8169.44,8126.12,68,-14.44,-0.177,-981.87,Stop Loss
19,2015-10-12,11:00:00,2015-10-12,14:00:00,SHORT,8188.5,8147.15,8209.17,8147.15,47,41.35,0.505,1943.45,Take Profit
